'Ionic strength','Velocity','Zeta potential','Particle size','Coordination number','Surface coverage','Conductivity','Void fraction','Clogging’
0.3,10,60,10,1.692307692,0.15,0.044074767,0.873937938,1
0.3,5,60,10,0.285714286,0.05,0.072458094,0.974787588,1
0.3,1,60,10,1.272727273,125,0.044814633,0.911756556,1
0.3,10,45.56,10,0.6,0.05,0.070679788,0.949575175,1
0.3,5,45.56,10,0.769230769,0.1,0.068254757,0.936968969,1
0.3,1,45.56,10,1.2,125,0.071656544,0.911756556,1
0.3,10,17.5,10,0.923076923,75,0.084202758,0.936968969,1
0.3,5,17.5,10,0.909090909,75,0.067237881,0.936968969,1
0.3,1,17.5,10,1.846153846,0.15,0.06071979,0.861331732,1
0.05,10,60,10,0.5,75,0.08944575,0.949575175,1
0.05,5,60,10,0.461538462,0.05,0.082570491,0.962181381,1
0.05,1,60,10,1,0.1,0.062971908,0.911756556,1
0.05,10,45.56,10,0.714285714,125,0.065116367,0.924362763,1
0.05,5,45.56,10,1.166666667,0.1,0.056607997,0.89915035,1
0.05,10,17.5,10,1.2,225,0.068398559,0.836119319,1
0.05,5,17.5,10,0.666666667,75,0.062144616,0.949575175,1
0.05,1,17.5,10,0.666666667,0.05,0.092421379,0.962181381,1
1,10,60,10,0.666666667,75,0.087937509,0.936968969,1
1,1,60,10,0.222222222,0.1,0.071942799,0.936968969,1
1,10,45.56,10,0.363636364,0.05,0.065308904,0.962181381,1
1,5,45.56,10,875,125,0.087054182,0.911756556,1
1,1,45.56,10,0.5,0.05,0.078993763,0.962181381,1
1,1,17.5,10,0.363636364,125,0.069697548,0.924362763,1
0.3,10,60,5,1.02,0.0875,0.0882,0.94,1
0.3,5,60,5,1576,75,65,927,1
0.3,1,60,5,2098,0.1375,0.0609,874,1
0.3,10,45.56,5,1964,125,0.0726,896,1
0.3,5,45.56,5,1.44,0.0625,87,0.94,1
0.3,1,45.56,5,2.23,0.0875,0.0622,0.89,1
0.3,10,17.5,5,1208,0.0875,0.0879,934,1
0.3,5,17.5,5,1.38,0.05,0.1,946,1
0.3,1,17.5,5,1.37,0.0875,96,934,1
0.05,10,60,5,1.62,504,0.29,0.8,-1
0.05,1,60,5,1.7,0.2625,0.0816,855,1
0.05,10,45.56,5,1846,0.45,337,786,-1
0.05,5,45.56,5,1.93,0.56,0.2,0.72,-1
0.05,1,45.56,5,1796,0.1125,0.0712,899,1
0.05,10,17.5,5,2.09,0.67,0.17,0.68,-1
0.05,5,17.5,5,2214,0.68,114,0.69,-1
0.05,1,17.5,5,1.17,0.05,0.0775,946,1
1,10,60,5,272,0.1125,596,0.97,-1
1,5,60,5,261,106,606,966,-1
1,10,45.56,5,214,112,0.65,966,-1
1,5,45.56,5,181,0.1,713,0.97,-1
1,1,45.56,5,0.44,0.1875,0.62,933,-1
1,10,17.5,5,0.22,0.0625,745,0.98,-1
1,5,17.5,5,216,125,622,961,-1
1,1,17.5,5,545,0.1375,0.65,939,-1
0.3,10,60,3,1988,0.1725,0.0692,0.9069,1
0.3,5,60,3,1909,105,0.0716,919,1
0.3,10,45.56,3,2683,0.24,0.0528,837,1
0.3,5,45.56,3,1364,0.0525,0.09,951,1
0.3,1,45.56,3,1682,75,0.0837,938,1
0.3,10,17.5,3,1779,0.0825,0.0667,922,1
0.3,5,17.5,3,1489,0.0825,0.0952,947,1
0.3,1,17.5,3,1175,75,0.0959,933,1
0.05,10,60,3,1.57,293,558,922,-1
0.05,5,60,3,2.04,298,455,0.88,-1
0.05,1,60,3,2.67,399,187,0.82,-1
0.05,10,45.56,3,1.67,248,626,923,-1
0.05,5,45.56,3,1913,0.34,0.4,888,-1
0.05,1,45.56,3,2.87,597,156,732,-1
0.05,10,17.5,3,1.91,356,428,894,-1
0.05,5,17.5,3,2347,344,337,844,-1
0.05,1,17.5,3,1.84,0.0675,0.0888,944,1
1,10,60,3,232,77,0.83,985,-1
1,5,60,3,216,0.0969,803,0.98,-1
1,1,60,3,407,196,785,0.95,-1
1,10,45.56,3,239,106,769,979,-1
1,5,45.56,3,253,107,0.78,979,-1
1,1,45.56,3,393,178,769,955,-1
1,5,17.5,3,0.26,114,797,979,-1
1,1,17.5,3,0.59,188,0.78,948,-1
0.05,1,45.56,10,0.923076923,125,0.069882729,0.89915035,1
1,5,60,10,0.769230769,0.05,0.08890198,0.949575175,1
1,10,17.5,10,0.333333333,0.05,0.077127656,0.962181381,1
1,5,17.5,10,0.666666667,125,0.082233213,0.911756556,1
0.05,5,60,5,2.27,0.54,186,0.72,-1
1,1,60,5,509,157,634,0.94,-1
0.3,1,60,3,1343,0.0675,0.0959,954,1
1,10,17.5,3,223,66,839,986,-1
